symbol,name,reportDate,fiscalDateEnding,estimate,currency
BOH,Bank of Hawaii Corp,2025-10-27,2025-09-30,1.18,USD
BOH-PA,BOH-PA,2025-10-27,2025-09-30,,USD
BOH-PB,BOH-PB,2025-10-27,2025-09-30,,USD
BOID,BOID,2025-10-15,2025-09-30,,USD
BOIVF,BOIVF,2025-09-17,2025-06-30,,USD
BOKF,BOK Financial Corp,2025-10-20,2025-09-30,2.15,USD
BOLD,Boundless Bio Inc,2025-11-06,2025-09-30,-1.09,USD
BOLSY,BOLSY,2025-11-11,2025-09-30,0.133,USD
BOMBF,BOMBF,2025-11-05,2025-09-30,,USD
BOMXF,BOMXF,2025-10-21,2025-09-30,0.77,USD
BON,Bon Natural Life Ltd - Class A,2025-09-22,2025-06-30,,USD
BONXF,BONXF,2025-11-20,2025-09-30,,USD
BOOM,DMC Global Inc,2025-10-30,2025-09-30,0.0567,USD
BOOT,Boot Barn Holdings Inc,2025-10-29,2025-09-30,1.27,USD
BOPCF,BOPCF,2025-09-22,2025-06-30,,USD
BORR,Borr Drilling Ltd,2025-11-05,2025-09-30,0.08,USD
BORT,BORT,2025-10-29,2025-09-30,,USD
BORTP,BORTP,2025-10-29,2025-09-30,,USD
BOSC,B.O.S. Better Online Solutions,2025-11-26,2025-09-30,,USD
BOSSY,BOSSY,2025-11-04,2025-09-30,0.9889,USD
BOTJ,Bank of James Financial Group Inc,2025-10-23,2025-09-30,,USD
BOTRF,BOTRF,2025-11-13,2025-09-30,0,USD
BOUYF,BOUYF,2025-11-05,2025-09-30,1.37,USD
BOUYY,BOUYY,2025-11-05,2025-09-30,0.3064,USD
BOVNF,BOVNF,2025-10-29,2025-09-30,,USD
BOWFF,BOWFF,2025-11-04,2025-09-30,,USD
BOX,Box Inc - Class A,2025-12-02,2025-10-31,0.31,USD
BOZTY,BOZTY,2025-11-03,2025-09-30,,USD
BP,BP plc,2025-11-04,2025-09-30,0.76,USD
BPAIF,BPAIF,2025-11-20,2025-08-31,,USD
BPAQF,BPAQF,2025-11-04,2025-09-30,0.14,USD
BPCGF,BPCGF,2025-10-29,2025-09-30,0.02,USD
BPCGY,BPCGY,2025-10-29,2025-09-30,0.1781,USD
BPHLY,BPHLY,2025-10-16,2025-09-30,1.07,USD
BPIRF,BPIRF,2025-10-31,2025-09-30,0.22,USD
BPIRY,BPIRY,2025-10-31,2025-09-30,0.2435,USD
BPMC,Blueprint Medicines Corp,2025-10-23,2025-09-30,-0.2163,USD
BPOP,Popular Inc,2025-10-22,2025-09-30,2.87,USD
BPOPO,BPOPO,2025-10-21,2025-09-30,,USD
BPOSF,BPOSF,2025-11-05,2025-09-30,0.05,USD
BPPPF,BPPPF,2025-11-14,2025-09-30,,USD
BPRN,Princeton Bancorp Inc,2025-10-30,2025-09-30,0.87,USD
BPTSY,BPTSY,2025-09-29,2025-06-30,,USD
BPZZF,BPZZF,2025-11-06,2025-09-30,0.33,USD
BR,Broadridge Financial Solutions Inc,2025-11-05,2025-09-30,1.24,USD
BRAG,Bragg Gaming Group Inc,2025-11-06,2025-09-30,-0.0309,USD
BRBMF,BRBMF,2025-11-06,2025-09-30,,USD
BRBOF,BRBOF,2025-11-06,2025-09-30,0.17,USD
BRBR,Bellring Brands Inc,2025-11-17,2025-09-30,0.55,USD
BRBS,Blue Ridge Bankshares Inc (VA),2025-10-29,2025-09-30,,USD
BRC,Brady Corp - Class A,2025-11-13,2025-10-31,1.17,USD
BRCC,BRC Inc - Class A,2025-11-06,2025-09-30,-0.005,USD
BRCFF,BRCFF,2025-11-12,2025-09-30,,USD
BRCND,BRCND,2025-11-13,2025-09-30,-0.05,USD
BRCNF,BRCNF,2025-11-13,2025-09-30,-0.05,USD
BRCTF,BRCTF,2025-11-13,2025-09-30,-1,USD
BRDCF,BRDCF,2025-11-11,2025-09-30,114.17,USD
BRDCY,BRDCY,2025-11-11,2025-09-30,0.3967,USD
BRDG,Bridge Investment Group Holdings Inc - Class A,2025-11-11,2025-09-30,0.21,USD
BRDLF,BRDLF,2025-11-10,2025-09-30,,USD
BREJY,BREJY,2025-10-30,2025-09-30,,USD
BRENF,BRENF,2025-11-06,2025-09-30,,USD
BREUF,BREUF,2025-11-13,2025-09-30,,USD
BRFH,Barfresh Food Group Inc,2025-10-23,2025-09-30,0,USD
BRFS,BRF S.A.,2025-11-13,2025-09-30,0.1,USD
BRK-B,Berkshire Hathaway Inc - Class B,2025-11-03,2025-09-30,5.5,USD
BRKCF,BRKCF,2025-11-27,2025-09-30,,USD
BRKL,Brookline Bancorp Inc,2025-10-29,2025-09-30,0.31,USD
BRKR,Bruker Corp,2025-11-04,2025-09-30,0.33,USD
BRKWF,BRKWF,2025-09-25,2025-07-31,,USD
BRLAF,BRLAF,2025-11-19,2025-09-30,,USD
BRLGF,BRLGF,2025-11-04,2025-09-30,0.13,USD
BRLT,Brilliant Earth Group Inc Class A,2025-11-06,2025-09-30,0.0152,USD
BRLXF,BRLXF,2025-11-07,2025-09-30,-0.1,USD
BRNS,Barinthus Biotherapeutics Plc.,2025-11-06,2025-09-30,-0.34,USD
BRO,Brown & Brown Inc,2025-10-27,2025-09-30,0.92,USD
BROG,BROG,2025-10-14,2025-09-30,,USD
BROGF,BROGF,2025-10-14,2025-09-30,,USD
BROS,Dutch Bros Inc - Class A,2025-11-05,2025-09-30,0.17,USD
BRPSF,BRPSF,2025-11-12,2025-09-30,,USD
BRRAY,BRRAY,2025-11-24,2025-09-30,,USD
BRRDF,BRRDF,2025-10-22,2025-09-30,2.38,USD
BRRGF,BRRGF,2025-11-19,2025-09-30,,USD
BRRLY,BRRLY,2025-11-05,2025-08-31,,USD
BRRLY,BRRLY,2025-12-04,2025-11-30,,CHF
BRSGF,BRSGF,2025-11-19,2025-08-31,,USD
BRSL,International Game Technology PLC,2025-11-11,2025-09-30,0.26,USD
BRSP,BrightSpire Capital Inc - Class A,2025-10-29,2025-09-30,0.1667,USD
BRSYF,BRSYF,2025-11-11,2025-09-30,,USD
BRT,BRT Apartments Corp,2025-11-10,2025-09-30,-0.14,USD
BRTHF,BRTHF,2025-11-06,2025-09-30,,USD
BRTHY,BRTHY,2025-11-06,2025-09-30,0.8162,USD
BRTX,BioRestorative Therapies Inc,2025-11-18,2025-09-30,-0.375,USD
BRUZF,BRUZF,2025-11-27,2025-09-30,,USD
BRVMF,BRVMF,2025-11-13,2025-09-30,-0.01,USD
BRWXF,BRWXF,2025-11-06,2025-09-30,,USD
BRX,Brixmor Property Group Inc,2025-10-27,2025-09-30,0.22,USD
BRY,Berry Corp,2025-10-29,2025-09-30,0.0577,USD
BRYAF,BRYAF,2025-11-26,2025-09-30,,USD
BRYFF,BRYFF,2025-11-13,2025-09-30,,USD
BRYGF,BRYGF,2025-09-30,2025-08-31,,USD
BSAC,Banco Santander Chile SA,2025-10-30,2025-09-30,0.5903,USD
BSBK,Bogota Financial Corp,2025-10-29,2025-09-30,0,USD
BSBR,Banco Santander (Brasil) S.A.,2025-10-29,2025-09-30,0.17,USD
BSDGF,BSDGF,2025-11-26,2025-09-30,,USD
BSDGY,BSDGY,2025-11-26,2025-09-30,,USD
BSEAF,BSEAF,2025-11-04,2025-08-31,,USD
BSEM,BSEM,2025-11-18,2025-09-30,0.28,USD
BSET,Bassett Furniture Industries Inc,2025-09-25,2025-08-31,0.125,USD
BSHVF,BSHVF,2025-09-15,2025-06-30,,USD
BSKZF,BSKZF,2025-10-24,2025-09-30,,USD
BSLAF,BSLAF,2025-11-06,2025-09-30,,USD
BSM,Black Stone Minerals L.P.,2025-11-03,2025-09-30,0.3033,USD
BSMAF,BSMAF,2025-10-30,2025-09-30,0.08,USD
BSPDF,BSPDF,2025-10-29,2025-09-30,,USD
BSPDY,BSPDY,2025-10-29,2025-09-30,,IDR
BSRR,Sierra Bancorp,2025-10-27,2025-09-30,0.78,USD
BSRTF,BSRTF,2025-11-06,2025-09-30,,USD
BSVN,Bank7 Corp,2025-10-17,2025-09-30,1.06,USD
BSWGF,BSWGF,2025-11-27,2025-09-30,-0.03,USD
BSX,Boston Scientific Corp,2025-10-22,2025-09-30,0.71,USD
BSXGF,BSXGF,2025-11-05,2025-09-30,,USD
BSY,Bentley Systems Inc - Class B,2025-11-11,2025-09-30,0.2759,USD
BTBIF,BTBIF,2025-11-03,2025-09-30,,USD
BTCS,BTCS Inc,2025-11-07,2025-09-30,-0.06,USD
BTDPF,BTDPF,2025-09-17,2025-06-30,,USD
BTDPY,BTDPY,2025-09-17,2025-06-30,,USD
BTDPY,BTDPY,2025-10-16,2025-09-30,,USD
BTDR,Bitdeer Technologies Holding Company,2025-11-24,2025-09-30,-0.13,USD
BTE,Baytex Energy Corp,2025-10-30,2025-09-30,0.029,USD
BTEAF,BTEAF,2025-09-24,2025-06-30,,USD
BTG,B2gold Corp,2025-11-05,2025-09-30,0.18,USD
BTGOF,BTGOF,2025-11-06,2025-09-30,,USD
BTI,British American Tobacco Plc,2025-10-30,2025-09-30,0,USD
BTLCY,BTLCY,2025-11-19,2025-09-30,,USD
BTLLF,BTLLF,2025-11-13,2025-09-30,,USD
BTMD,biote Corp - Class A,2025-11-11,2025-09-30,0.1325,USD
BTOC,Armlogi Holding Corp,2025-09-25,2025-06-30,0,USD
BTOC,Armlogi Holding Corp,2025-11-14,2025-09-30,0,USD
BTQNF,BTQNF,2025-11-27,2025-09-30,1.71,USD
BTRCF,BTRCF,2025-11-12,2025-09-30,0.14,USD
BTRMF,BTRMF,2025-11-27,2025-09-30,,USD
BTSBF,BTSBF,2025-10-24,2025-09-30,4.32,USD
BTSG,BrightSpring Health Services Inc,2025-10-31,2025-09-30,0.22,USD
BTSNY,BTSNY,2025-10-24,2025-09-30,,USD
BTT,BlackRock Municipal 2030 Target Term Trust,2025-10-01,2025-07-31,,USD
BTU,Peabody Energy Corp New,2025-10-30,2025-09-30,-0.02,USD
BTUMF,BTUMF,2025-09-25,2025-07-31,,USD
BUD,Anheuser-Busch InBev SA/NV,2025-10-30,2025-09-30,0.9909,USD
BUDFF,BUDFF,2025-10-30,2025-09-30,0.99,USD
BUKS,BUKS,2025-09-11,2025-07-31,,USD
BULL,Webull Corporation,2025-11-13,2025-09-30,,USD
BUR,Burford Capital Ltd,2025-11-06,2025-09-30,0.4059,USD
BURBY,BURBY,2025-11-13,2025-09-30,,USD
BURL,Burlington Stores Inc,2025-11-28,2025-10-31,1.55,USD
BUSE,First Busey Corp,2025-10-28,2025-09-30,0.62,USD
BUSEL,BUSEL,2025-10-20,2025-09-30,,USD
BV,BrightView Holdings Inc,2025-11-19,2025-09-30,0.32,USD
BVFL,BV Financial Inc,2025-10-21,2025-09-30,,USD
BVHMF,BVHMF,2025-09-10,2025-06-30,,USD
BVHMY,BVHMY,2025-09-10,2025-06-30,,USD
BVLDF,BVLDF,2025-09-29,2025-07-31,,USD
BVN,Compania de Minas Buenaventura S.A.,2025-10-30,2025-09-30,0.3339,USD
BVNKF,BVNKF,2025-11-14,2025-09-30,,DKK
BVNRY,BVNRY,2025-11-14,2025-09-30,,USD
BVRDF,BVRDF,2025-10-23,2025-09-30,,USD
BVS,Bioventus Inc - Class A,2025-11-11,2025-09-30,0.1085,USD
BVVBY,BVVBY,2025-10-23,2025-09-30,,USD
BW,Babcock & Wilcox Enterprises Inc,2025-11-05,2025-09-30,-0.0367,USD
BWA,BorgWarner Inc,2025-10-30,2025-09-30,1.13,USD
BWAGF,BWAGF,2025-10-20,2025-09-30,2.72,USD
BWAY,Brainsway Ltd,2025-11-12,2025-09-30,0.0412,USD
BWB,Bridgewater Bancshares Inc,2025-10-29,2025-09-30,0.39,USD
BWBBP,Bridgewater Bancshares Inc,2025-10-21,2025-09-30,,USD
BWEFF,BWEFF,2025-10-23,2025-09-30,0.13,USD
BWEN,Broadwind Inc,2025-11-05,2025-09-30,0.0733,USD
BWFG,Bankwell Financial Group Inc,2025-10-27,2025-09-30,1.06,USD
BWLKF,BWLKF,2025-11-27,2025-09-30,,USD
BWLP,BW LPG Ltd,2025-12-02,2025-09-30,0.64,USD
BWMN,Bowman Consulting Group Ltd,2025-11-05,2025-09-30,0.456,USD
BWOFY,BWOFY,2025-11-14,2025-09-30,,USD
BWXT,BWX Technologies Inc,2025-11-04,2025-09-30,0.862,USD
BX,Blackstone Inc,2025-10-23,2025-09-30,1.23,USD
BXBLY,BXBLY,2025-10-24,2025-09-30,,USD
BXC,Bluelinx Hldgs Inc,2025-11-04,2025-09-30,0.5525,USD
BXMT,Blackstone Mortgage Trust Inc - Class A,2025-10-22,2025-09-30,0.25,USD
BXP,Boston Properties Inc,2025-10-28,2025-09-30,0.45,USD
BXRBF,BXRBF,2025-11-12,2025-09-30,,AUD
BXSL,Blackstone Secured Lending Fund.,2025-11-06,2025-09-30,0.785,USD
BXXRF,BXXRF,2025-11-19,2025-09-30,,USD
BY,Byline Bancorp Inc,2025-10-23,2025-09-30,0.72,USD
BYCBF,BYCBF,2025-11-05,2025-08-31,,USD
BYCRF,BYCRF,2025-10-15,2025-08-31,,USD
BYD,Boyd Gaming Corp,2025-10-23,2025-09-30,1.58,USD
BYDDF,BYDDF,2025-10-30,2025-09-30,1.17,USD
BYDDY,BYDDY,2025-10-28,2025-09-30,1.28,CNY
BYDGF,BYDGF,2025-11-12,2025-09-30,0.59,USD
BYLOF,BYLOF,2025-11-17,2025-09-30,,USD
BYLTF,BYLTF,2025-11-12,2025-09-30,,USD
BYND,Beyond Meat Inc,2025-11-05,2025-09-30,-0.4295,USD
BYON,Beyond Inc,2025-10-23,2025-09-30,-0.376,USD
BYRN,Byrna Technologies Inc,2025-10-09,2025-08-31,0.072,USD
BYSI,BeyondSpring Inc,2025-11-06,2025-09-30,,USD
BYYLF,BYYLF,2025-09-26,2025-06-30,,USD
BZDLF,BZDLF,2025-11-13,2025-09-30,,USD
BZFD,BuzzFeed Inc - Class A,2025-11-10,2025-09-30,-0.06,USD
BZH,Beazer Homes USA Inc,2025-11-13,2025-09-30,0.8,USD
BZLFY,BZLFY,2025-12-03,2025-09-30,0.2,USD
BZQIF,BZQIF,2025-11-18,2025-09-30,0.12,USD
BZQIY,BZQIY,2025-11-12,2025-09-30,0,USD
BZTAF,BZTAF,2025-11-04,2025-09-30,0.57,USD
BZUN,Baozun Inc,2025-11-20,2025-09-30,0.17,USD
BZZUY,BZZUY,2025-11-05,2025-09-30,0,USD
C,Citigroup Inc,2025-10-14,2025-09-30,1.87,USD
CAAP,Corporacion America Airports S.A.,2025-11-12,2025-09-30,0.4613,USD
CAAS,China Automotive Systems Inc,2025-11-13,2025-09-30,0,USD
CABA,Cabaletta Bio Inc,2025-11-12,2025-09-30,-0.5242,USD
CABGY,CABGY,2025-10-30,2025-09-30,0.6478,USD
CABO,Cable One Inc,2025-10-30,2025-09-30,6.36,USD
CAC,Camden National Corp,2025-10-28,2025-09-30,1.19,USD
CACC,Credit Acceptance Corp,2025-10-29,2025-09-30,9.52,USD
CACI,Caci International Inc,2025-10-22,2025-09-30,6.21,USD
CADE,Cadence Bancorporation - Class A,2025-10-20,2025-09-30,0.78,USD
CADE-PA,CADE-PA,2025-10-20,2025-09-30,,USD
CADL,Candel Therapeutics Inc,2025-11-06,2025-09-30,-0.1793,USD
CADLF,CADLF,2025-11-20,2025-09-30,0.17,USD
CADNF,CADNF,2025-11-06,2025-09-30,0.3,USD
CAE,Cae Inc,2025-11-11,2025-09-30,0.2,USD
CAFZF,CAFZF,2025-09-25,2025-07-31,,USD
CAG,Conagra Brands Inc,2025-10-01,2025-08-31,0.52,USD
CAH,Cardinal Health Inc,2025-10-31,2025-09-30,2.18,USD
CAI,Caris Life Sciences Inc - Class A,2025-11-11,2025-09-30,-0.14,USD
CAIAF,CAIAF,2025-11-26,2025-09-30,,USD
CAIXY,CAIXY,2025-10-31,2025-09-30,,USD
CAJFF,CAJFF,2025-10-23,2025-09-30,64,JPY
CAJPY,CAJPY,2025-10-23,2025-09-30,0.5728,JPY
CAKE,Cheesecake Factory Inc,2025-10-29,2025-09-30,0.6032,USD
CAL,Caleres Inc,2025-11-25,2025-10-31,1.18,USD
CALA,CALA,2025-11-18,2025-09-30,0,USD
CALM,Cal-Maine Foods Inc,2025-09-29,2025-08-31,2.71,USD
CALX,Calix Inc,2025-10-27,2025-09-30,0.34,USD
CAMLF,CAMLF,2025-09-08,2025-06-30,,USD
CAMNF,CAMNF,2025-11-13,2025-09-30,,USD
CAMP,CAMP4 Therapeutics Corp,2025-11-20,2025-09-30,0,USD
CAMRF,CAMRF,2025-11-06,2025-09-30,3.81,USD
CAMT,Camtek Ltd,2025-11-11,2025-09-30,0.8,USD
CAMZF,CAMZF,2025-11-27,2025-10-31,,USD
CAN,Canaan Inc,2025-11-18,2025-09-30,-0.0026,USD
CANB,CANB,2025-11-07,2025-09-30,0,USD
CANG,Cango Inc,2025-12-01,2025-09-30,0.3818,USD
CANOF,CANOF,2025-10-16,2025-08-31,,USD
CANSF,CANSF,2025-11-12,2025-09-30,,USD
CAPL,CrossAmerica Partners LP,2025-11-05,2025-09-30,0.2,USD
CAPR,Capricor Therapeutics Inc,2025-11-12,2025-09-30,-0.472,USD
CAPS,Capstone Holding Corp,2025-11-10,2025-09-30,0.12,USD
CAR,Avis Budget Group Inc,2025-10-29,2025-09-30,8.47,USD
CARCY,CARCY,2025-10-23,2025-09-30,,CNY
CARE,Carter Bankshares Inc,2025-10-23,2025-09-30,0.41,USD
CARG,CarGurus Inc - Class A,2025-11-06,2025-09-30,0.56,USD
CARR,Carrier Global Corp,2025-10-30,2025-09-30,0.81,USD
CARS,Cars.com,2025-10-30,2025-09-30,0.4835,USD
CART,Maplebear Inc,2025-11-05,2025-09-30,0.2,USD
CASBF,CASBF,2025-10-30,2025-09-30,-0.01,USD
CASH,Pathward Financial Inc,2025-10-22,2025-09-30,1.37,USD
CASS,Cass Information Systems Inc,2025-10-16,2025-09-30,0.67,USD
CASXF,CASXF,2025-12-04,2025-09-30,,USD
CASY,Casey`s General Stores Inc,2025-09-08,2025-07-31,5.06,USD
CAT,Caterpillar Inc,2025-10-29,2025-09-30,4.63,USD
CATO,Cato Corp - Class A,2025-11-20,2025-10-31,0,USD
CATPF,CATPF,2025-11-27,2025-09-30,,USD
CATX,Perspective Therapeutics Inc,2025-11-18,2025-09-30,-0.3147,USD
CATY,Cathay General Bancorp,2025-10-20,2025-09-30,1.15,USD
CAVA,Cava Group Inc,2025-11-11,2025-09-30,0.13,USD
CAXPF,CAXPF,2025-09-23,2025-07-31,,USD
CAZGF,CAZGF,2025-11-12,2025-09-30,,USD
CB,Chubb Ltd,2025-10-28,2025-09-30,5.46,USD
CBAN,Colony Bankcorp Inc,2025-10-22,2025-09-30,0.47,USD
CBAOF,CBAOF,2025-10-28,2025-09-30,0.05,USD
CBAT,CBAK Energy Technology Inc,2025-11-07,2025-09-30,-0.03,USD
CBBLF,CBBLF,2025-09-25,2025-08-31,,USD
CBDBY,CBDBY,2025-11-04,2025-09-30,,USD
CBFV,CB Financial Services Inc,2025-10-23,2025-09-30,0.5933,USD
CBGPF,CBGPF,2025-09-23,2025-07-31,,USD
CBGPY,CBGPY,2025-09-17,2025-07-31,,USD
CBGZF,CBGZF,2025-11-27,2025-09-30,,USD
CBIO_OLD,CBIO_OLD,2025-11-12,2025-09-30,0.03,USD
CBKCQ,CBKCQ,2025-09-12,2025-07-31,0,USD
CBKM,CBKM,2025-10-20,2025-09-30,,USD
CBL,CBL& Associates Properties Inc - New,2025-11-10,2025-09-30,0.14,USD
CBLL,Ceribell Inc,2025-11-18,2025-09-30,0,USD
CBNA,Chain Bridge Bancorp Inc - Class A,2025-10-28,2025-09-30,0.73,USD
CBNK,Capital Bancorp Inc,2025-11-03,2025-09-30,0.87,USD
CBNT,CBNT,2025-11-12,2025-09-30,0,USD
CBOE,Cboe Global Markets Inc,2025-11-07,2025-09-30,2.38,USD
CBRE,CBRE Group Inc - Class A,2025-10-23,2025-09-30,1.49,USD
CBRL,Cracker Barrel Old Country Store Inc,2025-09-23,2025-07-31,0.7204,USD
CBRL,Cracker Barrel Old Country Store Inc,2025-12-04,2025-10-31,0.4428,USD
CBRSF,CBRSF,2025-11-27,2025-09-30,,USD
CBSH,Commerce Bancshares Inc,2025-10-16,2025-09-30,1.11,USD
CBT,Cabot Corp,2025-11-03,2025-09-30,1.74,USD
CBTTF,CBTTF,2025-11-27,2025-09-30,,USD
CBU,Community Bank System Inc,2025-10-21,2025-09-30,1.04,USD
CBUMY,CBUMY,2025-10-23,2025-09-30,,USD
CBUTD,CBUTD,2025-12-01,2025-09-30,,USD
CBVTF,CBVTF,2025-10-28,2025-08-31,,USD
CBWTF,CBWTF,2025-11-07,2025-09-30,,USD
CBYDF,CBYDF,2025-11-12,2025-09-30,,USD
CBZ,Cbiz Inc,2025-10-23,2025-09-30,0.8963,USD
CC,Chemours Company,2025-11-04,2025-09-30,0.24,USD
CCAP,Crescent Capital BDC Inc,2025-11-14,2025-09-30,0.47,USD
CCB,Coastal Financial Corp,2025-10-27,2025-09-30,0.88,USD
CCBC,CCBC,2025-10-16,2025-09-30,,USD
CCBG,Capital City Bank Group Inc,2025-10-28,2025-09-30,0.87,USD
CCCC,C4 Therapeutics Inc,2025-10-30,2025-09-30,-0.414,USD
CCCS,CCC Intelligent Solutions Holdings Inc,2025-11-11,2025-09-30,0.0902,USD
CCDBF,CCDBF,2025-11-12,2025-09-30,1.16,USD
CCEC,Capital Clean Energy Carriers Corp,2025-11-07,2025-09-30,0.4,USD
CCEDF,CCEDF,2025-10-29,2025-08-31,,USD
CCEL,Cryo-Cell International Inc,2025-10-10,2025-08-31,-0.04,USD
CCEP,Coca-Cola Europacific Partners Plc,2025-11-05,2025-09-30,0,USD
CCFN,CCFN,2025-10-16,2025-09-30,,USD
CCGFF,CCGFF,2025-10-29,2025-09-30,,AUD
CCGPY,CCGPY,2025-10-27,2025-08-31,,USD
CCHGY,CCHGY,2025-10-30,2025-09-30,0.8037,USD
CCI,Crown Castle Inc,2025-10-15,2025-09-30,0.5193,USD
CCJ,Cameco Corp,2025-11-05,2025-09-30,0.2539,USD
CCK,Crown Holdings Inc,2025-10-20,2025-09-30,2,USD
CCL,Carnival Corp (Paired Stock),2025-09-30,2025-08-31,1.31,USD
CCLD,CareCloud Inc,2025-10-30,2025-09-30,0.05,USD
CCLLF,CCLLF,2025-11-12,2025-09-30,,USD
CCNB,CCNB,2025-10-20,2025-09-30,,USD
CCNE,CNB Financial Corp (PA),2025-10-27,2025-09-30,0.6933,USD
CCNEP,CNB Financial Corp (PA),2025-10-20,2025-09-30,,USD
CCO,Clear Channel Outdoor Holdings Inc,2025-10-29,2025-09-30,-0.0492,USD
CCOEF,CCOEF,2025-10-29,2025-09-30,21.08,USD
CCOEY,CCOEY,2025-10-23,2025-09-30,0.0779,USD
CCOHF,CCOHF,2025-10-23,2025-09-30,,USD
CCOI,Cogent Communications Holdings Inc,2025-11-06,2025-09-30,-1.08,USD
CCOJF,CCOJF,2025-11-05,2025-09-30,96.92,USD
CCOJY,CCOJY,2025-11-04,2025-09-30,,USD
CCORF,CCORF,2025-11-06,2025-09-30,0.21,USD
CCOZF,CCOZF,2025-10-22,2025-09-30,0.31,USD
CCOZY,CCOZY,2025-10-22,2025-09-30,0.822,USD
CCPUF,CCPUF,2025-11-27,2025-09-30,-0.03,USD
CCRD,CoreCard Corporation - Class A,2025-11-06,2025-09-30,0.29,USD
CCRDF,CCRDF,2025-11-13,2025-09-30,18.02,USD
CCRN,Cross Country Healthcares Inc,2025-10-29,2025-09-30,0.04,USD
CCS,Century Communities Inc,2025-10-22,2025-09-30,0.86,USD
CCSI,Consensus Cloud Solutions Inc,2025-11-06,2025-09-30,1.36,USD
CCU,Compania Cervecerias Unidas S.A.,2025-11-05,2025-09-30,149.64,USD
CCWOF,CCWOF,2025-11-27,2025-09-30,,USD
CDDRF,CDDRF,2025-11-06,2025-09-30,0.15,USD
CDE,Coeur Mining Inc,2025-11-10,2025-09-30,0.21,USD
CDEFF,CDEFF,2025-11-06,2025-09-30,,USD
CDEVY,CDEVY,2025-10-31,2025-09-30,0,USD
CDGXF,CDGXF,2025-11-25,2025-09-30,,USD
CDLR,Cadeler AS,2025-11-20,2025-09-30,0,USD
CDLX,Cardlytics Inc,2025-11-04,2025-09-30,-0.3467,USD
CDNA,Caredx Inc,2025-10-30,2025-09-30,-0.0733,USD
CDNAF,CDNAF,2025-11-05,2025-09-30,,USD
CDNIF,CDNIF,2025-11-06,2025-09-30,,USD
CDNMF,CDNMF,2025-11-25,2025-09-30,,USD
CDNS,Cadence Design Systems Inc,2025-10-27,2025-09-30,1.79,USD
CDNTF,CDNTF,2025-11-06,2025-09-30,,USD
CDP,COPT Defense Properties,2025-10-27,2025-09-30,0.33,USD
CDPYF,CDPYF,2025-11-06,2025-09-30,,USD
CDRE,Cadre Holdings Inc,2025-11-05,2025-09-30,0.2529,USD
CDRO,Codere Online Luxembourg S.A,2025-11-26,2025-09-30,0.06,USD
CDT,Conduit Pharmaceuticals Inc,2025-11-12,2025-09-30,,USD
CDUAF,CDUAF,2025-11-13,2025-09-30,0.38,USD
CDW,CDW Corp,2025-11-05,2025-09-30,2.62,USD
CDXS,Codexis Inc,2025-10-29,2025-09-30,-0.1657,USD
CDZI,Cadiz Inc,2025-11-07,2025-09-30,-0.09,USD
CE,Celanese Corp - Series A,2025-11-10,2025-09-30,1.27,USD
CEBCF,CEBCF,2025-10-30,2025-09-30,,CNY
CECAF,CECAF,2025-11-13,2025-09-30,,USD
CECO,Ceco Environmental Corp,2025-11-10,2025-09-30,0.26,USD
CEFC,CEFC,2025-10-23,2025-09-30,,USD
CEG,Constellation Energy Corporation,2025-11-03,2025-09-30,3.13,USD
CEIEF,CEIEF,2025-11-20,2025-09-30,,USD
CELC,Celcuity Inc,2025-11-17,2025-09-30,-0.8843,USD
CELH,Celsius Holdings Inc,2025-11-05,2025-09-30,0.2617,USD
CELJF,CELJF,2025-11-12,2025-09-30,0,USD
CELU,Celularity Inc - Class A,2025-10-14,2025-09-30,,USD
CENT,Central Garden & Pet Company,2025-12-01,2025-09-30,-0.1995,USD
CENTA,Central Garden & Pet Co. - Class A,2025-12-01,2025-09-30,-0.1995,USD
CENX,Century Aluminum Company,2025-11-10,2025-09-30,0.66,USD
CEPU,Central Puerto,2025-11-07,2025-09-30,0,USD
CERGF,CERGF,2025-09-11,2025-06-30,,USD
CERGF,CERGF,2025-11-12,2025-09-30,,USD
CERS,Cerus Corp,2025-10-30,2025-09-30,-0.0267,USD
CERT,Certara Inc,2025-11-05,2025-09-30,0.1079,USD
CETEF,CETEF,2025-11-06,2025-09-30,0.49,USD
CEUMF,CEUMF,2025-11-11,2025-09-30,,USD
CEVA,Ceva Inc,2025-11-06,2025-09-30,0.11,USD
CEVMF,CEVMF,2025-11-20,2025-09-30,0.41,USD
CF,CF Industries Holdings Inc,2025-11-05,2025-09-30,2.07,USD
CFAGF,CFAGF,2025-10-28,2025-09-30,,USD
CFBK,CF Bankshares Inc,2025-10-28,2025-09-30,0.77,USD
CFFI,C & F Financial Corp,2025-10-29,2025-09-30,,USD
CFFN,Capitol Federal Financial,2025-10-29,2025-09-30,0.14,USD
CFG,Citizens Financial Group Inc,2025-10-15,2025-09-30,1.02,USD
CFG-PD,CFG-PD,2025-10-16,2025-09-30,,USD
CFG-PE,CFG-PE,2025-10-16,2025-09-30,,USD
CFG-PH,CFG-PH,2025-10-16,2025-09-30,,USD
CFGPL,CFGPL,2025-10-16,2025-09-30,,USD
CFGPV,CFGPV,2025-10-16,2025-09-30,,USD
CFIGF,CFIGF,2025-10-24,2025-09-30,,AUD
CFIGY,CFIGY,2025-10-24,2025-09-30,,USD
