timestamp,open,high,low,close,volume
2025-09-05,248.2300,249.0300,245.4500,248.5300,3147478
2025-09-04,245.4200,249.2800,242.8500,247.1800,4765087
2025-09-03,240.0200,244.2500,239.4100,244.1000,3156289
2025-09-02,240.9000,241.5500,238.2500,241.5000,3469501
2025-08-29,245.2300,245.4599,241.7200,243.4900,2967558
2025-08-28,245.4300,245.8800,243.3600,245.7300,2820817
2025-08-27,242.8700,245.9600,242.0000,244.8400,3698372
2025-08-26,241.0200,244.9800,240.3800,242.6300,5386582
2025-08-25,242.5650,242.5650,239.4300,239.4300,3513327
2025-08-22,240.7400,243.6800,240.2200,242.0900,3134882
2025-08-21,242.2100,242.5000,238.6500,239.4000,2991902
2025-08-20,242.1100,242.8800,240.3400,242.5500,3240064
2025-08-19,240.0000,242.8300,239.4900,241.2800,3328305
2025-08-18,239.5700,241.4200,239.1158,239.4500,3569594
2025-08-15,237.6100,240.6200,236.7700,239.7200,4344322
2025-08-14,238.2500,239.0000,235.6200,237.1100,4556725
2025-08-13,236.2000,240.8411,236.2000,240.0700,5663562
2025-08-12,236.5300,237.9600,233.3600,234.7700,8800597
2025-08-11,242.2400,243.1500,234.7000,236.3000,9381960
2025-08-08,248.8800,249.4800,241.6500,242.2700,6828390
2025-08-07,252.8100,255.0000,248.8750,250.1600,6251285
2025-08-06,251.5300,254.3200,249.2800,252.2800,3692105
2025-08-05,252.0000,252.8000,248.9950,250.6700,5823016
2025-08-04,251.0500,252.0800,248.1100,251.9800,5280588
2025-08-01,251.4050,251.4791,245.6100,250.0500,9683404
2025-07-31,259.5700,259.9900,252.2200,253.1500,6739092
2025-07-30,261.6000,262.0000,258.9000,260.2600,3718290
2025-07-29,264.3000,265.7999,261.0200,262.4100,4627265
2025-07-28,260.3000,264.0000,259.6100,263.2100,5192516
2025-07-25,260.0200,260.8000,256.3500,259.7200,7758653
2025-07-24,261.2500,262.0486,252.7500,260.5100,22647720
2025-07-23,284.3000,288.0800,281.4400,282.0100,8105906
2025-07-22,284.7400,284.8800,281.2500,281.9600,4824219
2025-07-21,286.2900,287.7300,284.3800,284.7100,3051791
2025-07-18,283.3800,287.1600,282.2200,285.8700,4478165
2025-07-17,281.5000,283.4566,280.9000,282.0000,3337168
2025-07-16,282.7500,283.8700,279.8700,281.9200,2804831
2025-07-15,283.7700,284.1550,280.7301,282.7000,2864106
2025-07-14,282.8300,284.9250,281.7100,283.7900,2857401
2025-07-11,285.0100,287.4300,282.9200,283.5900,3790679
2025-07-10,288.9000,288.9000,282.2100,287.4300,3489068
2025-07-09,291.3900,291.6000,288.6300,290.1400,2971309
2025-07-08,293.1000,295.6100,289.4900,290.4200,2925329
2025-07-07,292.5000,295.2199,290.3607,292.4700,4488064
2025-07-03,287.9400,292.3200,287.9000,291.9700,1853289
2025-07-02,290.0000,290.1900,286.9000,287.6500,3257515
2025-07-01,294.5500,295.1081,290.0800,291.2000,3272797
